RULE,USER_ID,HIT_DATE,USER_LEVEL,USER_LEVEL_BADRATE,USER_TARGET
授信通过,ID20261117002737,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115008388,2026-10-01,1,20.00%,1
授信通过,ID20261115005845,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115003940,2026-10-01,1,20.00%,1
授信通过,ID20261117007775,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115005849,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115009061,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115005523,2026-10-01,1,20.00%,1
授信通过,ID20261115010200,2026-10-01,1,20.00%,1
授信通过,ID20261117005922,2026-10-01,1,20.00%,1
授信通过,ID20261117003357,2026-10-01,1,20.00%,1
授信通过,ID20261123005280,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261123001976,2026-12-01,1,20.00%,1
授信通过,ID20261123003135,2026-12-01,1,20.00%,1
授信通过,ID20261122003756,2026-12-01,1,20.00%,1
授信通过,ID20261122006961,2026-12-01,1,20.00%,1
授信通过,ID20261124011517,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261123002052,2026-12-01,1,20.00%,1
授信通过,ID20261123010513,2026-12-01,1,20.00%,1
授信通过,ID20261123006040,2026-12-01,1,20.00%,1
授信通过,ID20261124010279,2026-12-01,1,20.00%,1
授信通过,ID20261122006976,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261123002563,2026-12-01,1,20.00%,1
授信通过,ID20261123008957,2026-12-01,1,20.00%,1
授信通过,ID20261123001072,2026-12-01,1,20.00%,1
授信通过,ID20261124002530,2026-12-01,1,20.00%,1
授信通过,ID20261124000718,2026-12-01,1,20.00%,1
授信通过,ID20261124000486,2026-12-01,1,20.00%,1
授信通过,ID20261123009957,2026-12-01,1,20.00%,1
授信通过,ID20261121003234,2026-10-01,1,20.00%,1
授信通过,ID20261121010549,2026-10-01,1,20.00%,1
授信通过,ID20261121012189,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261124008665,2026-12-01,1,20.00%,1
授信通过,ID20261122010564,2026-12-01,1,20.00%,1
授信通过,ID20261123002209,2026-12-01,1,20.00%,1
授信通过,ID20261123000199,2026-12-01,1,20.00%,1
授信通过,ID20261124002107,2026-12-01,1,20.00%,1
授信通过,ID20261124011178,2026-12-01,1,20.00%,1
授信通过,ID20261124002008,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261124006436,2026-12-01,1,20.00%,1
授信通过,ID20261121011988,2026-10-01,1,20.00%,1
授信通过,ID20261123010540,2026-12-01,1,20.00%,1
授信通过,ID20261123007996,2026-12-01,1,20.00%,1
授信通过,ID20261123009516,2026-12-01,1,20.00%,1
授信通过,ID20261121011599,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261124000601,2026-12-01,1,20.00%,1
授信通过,ID20261124000576,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261124003958,2026-12-01,1,20.00%,1
授信通过,ID20261123007379,2026-12-01,1,20.00%,1
授信通过,ID20261122005497,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261124010647,2026-12-01,1,20.00%,0
授信通过,ID20261124000384,2026-12-01,1,20.00%,1
授信通过,ID20261124011308,2026-12-01,1,20.00%,1
授信通过,ID20261124010487,2026-12-01,1,20.00%,1
授信通过,ID20261125003681,2026-12-01,1,20.00%,1
授信通过,ID20261125004148,2026-12-01,1,20.00%,1
授信通过,ID20261125000861,2026-12-01,1,20.00%,1
授信通过,ID20261125004744,2026-12-01,1,20.00%,1
授信通过,ID20261125003145,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261125011365,2026-12-01,1,20.00%,1
授信通过,ID20261125000941,2026-12-01,1,20.00%,1
授信通过,ID20261125009875,2026-12-01,1,20.00%,1
授信通过,ID20261125011551,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261125005586,2026-12-01,1,20.00%,1
授信通过,ID20261125005466,2026-12-01,1,20.00%,1
授信通过,ID20261125003299,2026-12-01,1,20.00%,1
授信通过,ID20261125003841,2026-12-01,1,20.00%,1
授信通过,ID20261125002692,2026-12-01,1,20.00%,1
授信通过,ID20261125002279,2026-12-01,1,20.00%,1
授信通过,ID20261125007168,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261125008239,2026-12-01,1,20.00%,0
授信通过,ID20261125005153,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261125008482,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261125003504,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128002789,2026-12-01,1,20.00%,1
授信通过,ID20261128004401,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128009358,2026-12-01,1,20.00%,0
授信通过,ID20261128009599,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128000399,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261128009440,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128000062,2026-12-01,1,20.00%,0
授信通过,ID20261128009435,2026-12-01,1,20.00%,1
授信通过,ID20261128000139,2026-12-01,1,20.00%,1
授信通过,ID20261128007934,2026-12-01,1,20.00%,1
授信通过,ID20261128004673,2026-12-01,1,20.00%,1
授信通过,ID20261128006328,2026-12-01,1,20.00%,1
授信通过,ID20261128001449,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128003875,2026-12-01,1,20.00%,1
授信通过,ID20261128003961,2026-12-01,1,20.00%,1
授信通过,ID20261128000772,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128001393,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261128001134,2026-12-01,1,20.00%,1
授信通过,ID20261128005867,2026-12-01,1,20.00%,1
授信通过,ID20261128000441,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128004007,2026-12-01,1,20.00%,1
授信通过,ID20261128007979,2026-12-01,1,20.00%,1
授信通过,ID20261128008353,2026-12-01,1,20.00%,1
授信通过,ID20261128004751,2026-12-01,1,20.00%,1
授信通过,ID20261128007472,2026-12-01,1,20.00%,1
授信通过,ID20261128004047,2026-12-01,1,20.00%,1
授信通过,ID20261127002786,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126006686,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261126006819,2026-12-01,1,20.00%,1
授信通过,ID20261127003809,2026-12-01,1,20.00%,1
授信通过,ID20261127007614,2026-12-01,1,20.00%,1
授信通过,ID20261126002951,2026-12-01,1,20.00%,1
授信通过,ID20261127005576,2026-12-01,1,20.00%,1
授信通过,ID20261127007802,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127007900,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127009591,2026-12-01,1,20.00%,1
授信通过,ID20261126004405,2026-12-01,1,20.00%,1
授信通过,ID20261126004404,2026-12-01,1,20.00%,1
授信通过,ID20261127005464,2026-12-01,1,20.00%,1
授信通过,ID20261127008154,2026-12-01,1,20.00%,1
授信通过,ID20261127011477,2026-12-01,1,20.00%,1
授信通过,ID20261127007635,2026-12-01,1,20.00%,1
授信通过,ID20261127000886,2026-12-01,1,20.00%,1
授信通过,ID20261126001925,2026-12-01,1,20.00%,1
授信通过,ID20261127000916,2026-12-01,1,20.00%,1
授信通过,ID20261126000491,2026-12-01,1,20.00%,1
授信通过,ID20261126007470,2026-12-01,1,20.00%,1
授信通过,ID20261127001032,2026-12-01,1,20.00%,1
授信通过,ID20261127011280,2026-12-01,1,20.00%,1
授信通过,ID20261127000933,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127009894,2026-12-01,1,20.00%,1
授信通过,ID20261126005728,2026-12-01,1,20.00%,1
授信通过,ID20261126000993,2026-12-01,1,20.00%,1
授信通过,ID20261127011749,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126003675,2026-12-01,1,20.00%,1
授信通过,ID20261127007753,2026-12-01,1,20.00%,1
授信通过,ID20261126000650,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126011177,2026-12-01,1,20.00%,1
授信通过,ID20261126005147,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126000924,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127006097,2026-12-01,1,20.00%,1
授信通过,ID20261127004113,2026-12-01,1,20.00%,1
授信通过,ID20261127008088,2026-12-01,1,20.00%,1
授信通过,ID20261127002937,2026-12-01,1,20.00%,1
授信通过,ID20261126004110,2026-12-01,1,20.00%,1
授信通过,ID20261127007521,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127008379,2026-12-01,1,20.00%,1
授信通过,ID20261127001030,2026-12-01,1,20.00%,1
授信通过,ID20261127000961,2026-12-01,1,20.00%,1
授信通过,ID20261126007207,2026-12-01,1,20.00%,1
授信通过,ID20261126000928,2026-12-01,1,20.00%,1
授信通过,ID20261127007867,2026-12-01,1,20.00%,1
授信通过,ID20261126001042,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126004702,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126011660,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127002596,2026-12-01,1,20.00%,1
授信通过,ID20261126005673,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126005843,2026-12-01,1,20.00%,1
授信通过,ID20261126002522,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127009520,2026-12-01,1,20.00%,1
授信通过,ID20261127007713,2026-12-01,1,20.00%,1
授信通过,ID20261127011640,2026-12-01,1,20.00%,1
授信通过,ID20261126006540,2026-12-01,1,20.00%,1
授信通过,ID20261126004477,2026-12-01,1,20.00%,1
授信通过,ID20261127003837,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126004674,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127006602,2026-12-01,1,20.00%,1
授信通过,ID20261124003364,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261119007109,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261120001634,2026-10-01,1,20.00%,1
授信通过,ID20261119006727,2026-10-01,1,20.00%,1
授信通过,ID20261116007907,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261119005528,2026-10-01,1,20.00%,1
授信通过,ID20261119007609,2026-10-01,1,20.00%,1
授信通过,ID20261116005335,2026-10-01,1,20.00%,1
百度欺诈分>=90,ID20261119002299,2026-10-01,1,20.00%,1
授信通过,ID20261120006432,2026-10-01,1,20.00%,1
授信通过,ID20261116004419,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261116007252,2026-10-01,1,20.00%,1
授信通过,ID20261116003455,2026-10-01,1,20.00%,1
授信通过,ID20261119005072,2026-10-01,1,20.00%,1
授信通过,ID20261120008383,2026-10-01,1,20.00%,1
授信通过,ID20261116002963,2026-10-01,1,20.00%,1
授信通过,ID20261119003305,2026-10-01,1,20.00%,1
授信通过,ID20261119008072,2026-10-01,1,20.00%,1
授信通过,ID20261120002463,2026-10-01,1,20.00%,1
授信通过,ID20261120008399,2026-10-01,1,20.00%,1
授信通过,ID20261116002755,2026-10-01,1,20.00%,1
授信通过,ID20261115009068,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115008383,2026-10-01,1,20.00%,1
授信通过,ID20261115010366,2026-10-01,1,20.00%,1
授信通过,ID20261116003575,2026-10-01,1,20.00%,1
授信通过,ID20261116005523,2026-10-01,1,20.00%,1
授信通过,ID20261116008165,2026-10-01,1,20.00%,1
授信通过,ID20261119006913,2026-10-01,1,20.00%,1
授信通过,ID20261115010383,2026-10-01,1,20.00%,1
授信通过,ID20261115008281,2026-10-01,1,20.00%,1
授信通过,ID20261115005359,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261117007005,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261118006291,2026-10-01,1,20.00%,1
授信通过,ID20261118003392,2026-10-01,1,20.00%,1
授信通过,ID20261117004587,2026-10-01,1,20.00%,1
授信通过,ID20261117003778,2026-10-01,1,20.00%,1
